"geo_id","res_imprv_pct_median","res_imprv_pct_stdev","res_count","com_imprv_pct_median","com_imprv_pct_stdev","com_count"
"06001352202",70.0,0.0,2,"","",0
"06001354001",70.0,0.0,1,"","",0
"06001400100",70.0,0.0,66,"","",0
"06001400200",70.0,2.6,15,"","",0
"06001400300",70.0,8.7,58,20.23,24.7,4
"06001400400",70.0,11.4,43,49.47,10.2,2
"06001400500",70.0,14.2,47,"","",0
"06001400600",70.0,0.0,21,"","",0
"06001400700",70.0,2.6,69,72.66,3.3,2
"06001400800",70.0,21.9,46,"","",0
"06001400900",70.0,0.0,34,"","",0
"06001401000",70.0,1.3,90,46.34,29.7,2
"06001401100",70.0,3.4,31,74.04,7.7,5
"06001401200",70.0,1.7,25,76.82,0.4,2
"06001401300",70.0,10.5,45,70.49,8.2,9
"06001401400",70.0,3.2,59,38.07,10.3,2
"06001401500",70.0,3.4,49,"","",0
"06001401600",70.0,13.3,27,65.25,6.3,2
"06001401700",70.0,0.0,101,"","",0
"06001401800",70.0,1.1,19,3.15,0.0,1
"06001402200",70.0,2.0,33,48.21,33.9,2
"06001402400",70.0,1.2,16,66.66,0.0,1
"06001402500",70.0,0.0,3,"","",0
"06001402600",70.0,0.0,3,"","",0
"06001402700",70.0,0.6,15,72.96,0.2,2
"06001402800",70.0,0.8,16,75.36,7.1,6
"06001402900","","",0,55.95,26.3,12
"06001403000",70.0,8.0,91,70.0,4.7,15
"06001403100",70.0,0.0,11,0.74,42.3,4
"06001403300",70.0,2.9,92,70.0,9.4,3
"06001403400",70.0,1.7,38,"","",0
"06001403501",70.0,1.3,35,22.77,12.3,3
"06001403502",70.0,1.4,36,"","",0
"06001403600",70.0,0.8,40,"","",0
"06001403701",70.0,1.8,23,"","",0
"06001403702",70.0,1.7,21,87.01,0.0,1
"06001403800",70.0,3.8,42,"","",0
"06001403900",70.0,1.2,46,70.32,13.0,3
"06001404000",70.0,4.6,34,"","",0
"06001404101",70.0,0.3,30,46.1,15.9,3
"06001404102",70.0,1.6,9,"","",0
"06001404200",70.0,6.4,60,"","",0
"06001404300",70.0,0.0,45,"","",0
"06001404400",70.0,4.3,114,"","",0
"06001404501",70.0,1.0,24,"","",0
"06001404502",70.0,2.6,112,88.23,0.0,1
"06001404600",70.0,9.8,82,"","",0
"06001404700",70.0,4.6,42,"","",0
"06001404800",70.0,3.3,36,"","",0
"06001404900",70.0,0.7,57,44.47,33.0,4
"06001405000",70.0,11.4,54,85.52,0.0,1
"06001405100",70.0,0.4,63,"","",0
"06001405200",70.0,3.1,43,82.86,14.4,2
"06001405301",70.0,0.2,11,"","",0
"06001405302",70.0,1.5,5,72.07,2.0,2
"06001405401",70.0,2.1,11,"","",0
"06001405402",70.0,2.0,8,57.23,7.2,2
"06001405500",70.0,1.5,53,83.97,14.0,2
"06001405600",70.0,1.8,27,"","",0
"06001405700",70.0,3.0,29,77.77,0.0,1
"06001405800",70.0,0.9,29,"","",0
"06001405901",70.0,1.5,21,49.2,36.7,2
"06001405902",70.0,1.2,26,"","",0
"06001406000",70.0,1.3,36,38.51,38.5,2
"06001406100",70.0,2.4,43,71.97,26.5,9
"06001406201",70.0,1.6,34,"","",0
"06001406202",70.0,0.3,13,55.67,2.2,2
"06001406300",70.0,1.2,25,54.73,12.4,3
"06001406400",70.0,1.6,21,70.37,0.0,1
"06001406500",70.0,2.1,50,58.22,0.0,1
"06001406601",70.0,1.4,52,"","",0
"06001406602",70.0,2.1,24,79.8,0.0,1
"06001406700",70.0,2.0,77,77.42,4.8,4
"06001406800",70.0,0.0,63,60.69,0.0,1
"06001406900",70.0,5.4,49,"","",0
"06001407000",70.0,8.4,69,"","",0
"06001407101",70.0,0.0,27,"","",0
"06001407102",70.0,1.3,43,"","",0
"06001407200",70.0,1.0,38,59.38,2.0,2
"06001407300",70.0,0.0,21,59.14,0.0,1
"06001407400",70.0,0.7,30,36.55,20.3,6
"06001407500",70.0,1.3,33,76.78,7.8,2
"06001407600",70.0,0.6,84,"","",0
"06001407700",70.0,6.1,102,"","",0
"06001407800",70.0,4.6,40,"","",0
"06001407900",70.0,0.9,63,56.52,0.0,1
"06001408000",70.0,9.3,44,"","",0
"06001408100",70.0,6.4,197,"","",0
"06001408200",70.0,0.1,82,"","",0
"06001408300",70.0,1.6,99,"","",0
"06001408400",70.0,5.6,56,57.14,11.3,3
"06001408500",70.0,7.7,84,77.75,4.0,2
"06001408600",70.0,0.0,78,50.76,4.8,2
"06001408700",70.0,6.6,102,72.5,12.5,2
"06001408800",70.0,10.8,44,"","",0
"06001408900",70.0,11.0,43,"","",0
"06001409000",70.0,5.2,38,26.48,23.9,6
"06001409100",70.0,4.5,33,"","",0
"06001409200",70.0,1.0,49,"","",0
"06001409300",70.0,2.2,63,"","",0
"06001409400",70.0,0.9,55,58.33,0.0,1
"06001409500",70.0,6.3,47,67.64,3.8,2
"06001409600",70.0,2.0,51,77.64,0.0,1
"06001409700",70.0,2.7,54,"","",0
"06001409800",70.0,9.6,57,55.4,0.0,1
"06001409900",70.0,0.5,58,20.93,0.0,1
"06001410000",70.0,0.5,48,"","",0
"06001410100",70.0,1.0,57,66.66,0.0,1
"06001410200",70.0,4.4,45,70.45,0.0,1
"06001410300",70.0,0.6,41,60.83,0.0,1
"06001410400",70.0,5.9,62,"","",0
"06001410500",70.0,0.0,5,"","",0
"06001420100",70.0,0.0,18,"","",0
"06001420200",70.0,9.0,66,19.87,0.0,1
"06001420300",70.0,5.4,55,"","",0
"06001420500",70.0,1.5,19,"","",0
"06001420600",70.0,1.0,22,59.63,13.3,2
"06001421100",70.0,5.1,25,"","",0
"06001421200",70.0,6.3,34,"","",0
"06001421300",70.0,4.4,39,"","",0
"06001421400",70.0,0.0,14,"","",0
"06001421500",70.0,4.2,44,"","",0
"06001421600",70.0,3.0,50,"","",0
"06001421700",70.0,10.0,25,54.26,6.1,3
"06001421800",70.0,14.3,22,"","",0
"06001421900",70.0,4.3,40,"","",0
"06001422000",70.0,7.0,17,46.64,29.4,20
"06001422100",70.0,4.7,33,35.87,0.0,1
"06001422200",70.0,3.8,34,"","",0
"06001422300",70.0,4.1,25,23.2,25.7,4
"06001422400",70.0,1.4,13,54.98,10.2,2
"06001422500",70.0,4.2,14,"","",0
"06001422700",70.0,24.5,7,"","",0
"06001422800",70.0,8.5,6,74.0,36.6,3
"06001422900","","",0,56.66,26.7,5
"06001423000",70.0,4.4,25,61.52,17.9,4
"06001423100",70.0,2.4,34,"","",0
"06001423200",70.0,6.7,20,"","",0
"06001423300",70.0,4.2,47,53.7,10.5,3
"06001423400",70.0,7.0,32,41.52,0.0,1
"06001423500",70.0,4.7,17,56.95,13.9,2
"06001423601",70.0,10.0,15,"","",0
"06001423602",70.0,1.9,19,"","",0
"06001423700",70.0,4.8,20,50.0,0.0,1
"06001423800",70.0,5.3,26,"","",0
"06001423901",70.0,16.0,20,48.01,20.0,2
"06001423902",70.0,1.2,14,"","",0
"06001424001",70.0,6.7,35,53.33,0.0,1
"06001424002",70.0,8.2,31,"","",0
"06001425101",70.0,4.3,55,39.3,39.3,2
"06001425102",70.0,0.0,141,70.66,0.0,1
"06001425103",70.0,0.0,25,75.98,0.0,1
"06001425104",80.0,9.1,98,77.06,4.8,8
"06001426100",70.0,3.8,82,"","",0
"06001426200",70.0,8.4,65,"","",0
"06001427100",70.0,4.0,42,"","",0
"06001427200",70.0,4.4,26,65.16,16.5,2
"06001427300",70.0,4.7,49,54.2,0.0,1
"06001427600",70.0,6.6,8,"","",0
"06001427700",70.0,5.4,41,68.02,0.0,1
"06001427800",70.0,3.5,36,"","",0
"06001427900",70.0,1.6,36,"","",0
"06001428000",70.0,2.1,9,55.55,0.0,1
"06001428100",70.0,12.0,43,47.32,24.5,3
"06001428200",70.0,5.5,76,"","",0
"06001428301",70.0,5.4,95,70.26,7.8,11
"06001428302",70.0,1.9,66,"","",0
"06001428400",70.0,8.0,26,"","",0
"06001428500",70.0,3.9,31,"","",0
"06001428600",70.0,2.4,46,"","",0
"06001428700",70.0,12.1,17,0.0,0.0,1
"06001430101",70.0,13.3,83,"","",0
"06001430102",70.0,11.0,30,"","",0
"06001430200",70.0,12.1,80,"","",0
"06001430300",70.0,5.7,58,"","",0
"06001430400",70.0,2.1,29,"","",0
"06001430500",70.0,1.3,86,81.73,0.0,1
"06001430600",70.0,7.8,92,"","",0
"06001430700",70.0,6.1,49,"","",0
"06001430800",70.0,7.1,89,46.36,6.1,2
"06001430900",70.0,9.2,29,68.94,31.1,3
"06001431000",70.0,8.5,12,36.25,19.6,2
"06001431100",70.0,13.2,27,"","",0
"06001431200",70.0,3.8,98,"","",0
"06001432100",70.0,4.4,67,58.01,0.0,1
"06001432200",70.0,3.0,52,46.81,31.0,4
"06001432300",70.0,1.5,91,"","",0
"06001432400",70.0,6.4,47,"","",0
"06001432501",70.0,2.1,43,"","",0
"06001432502",70.0,3.3,35,"","",0
"06001432600",70.0,2.5,72,72.05,16.1,4
"06001432700",70.0,7.4,39,"","",0
"06001432800",70.0,1.5,64,"","",0
"06001433000",70.0,2.6,77,"","",0
"06001433102",70.0,0.8,47,55.0,0.0,1
"06001433103",70.0,2.0,27,53.33,21.4,5
"06001433104",70.0,0.0,24,76.58,3.5,2
"06001433200",70.0,0.5,53,18.18,0.0,1
"06001433300",70.0,3.0,77,"","",0
"06001433400",70.0,0.1,83,"","",0
"06001433500",70.0,0.0,49,"","",0
"06001433600",70.0,1.6,63,"","",0
"06001433700",70.0,1.9,42,75.0,0.0,1
"06001433800",70.0,0.0,81,50.56,9.8,4
"06001433900",70.0,1.6,41,"","",0
"06001434000",70.0,8.6,46,"","",0
"06001435102",70.0,8.6,77,"","",0
"06001435103",70.0,10.3,104,"","",0
"06001435104",70.0,0.7,77,2.7,0.0,1
"06001435200",70.0,0.4,69,"","",0
"06001435300",70.0,12.6,67,22.11,12.1,3
"06001435400",70.0,0.0,58,51.05,17.5,6
"06001435500",70.0,4.2,37,30.77,10.9,4
"06001435601",70.0,12.4,31,87.77,0.0,1
"06001435602",70.0,3.1,42,"","",0
"06001435700",70.0,0.0,51,"","",0
"06001435800",70.0,0.0,66,81.17,1.8,2
"06001435900",70.0,0.0,69,"","",0
"06001436000",70.0,0.0,60,70.0,0.0,1
"06001436100",70.0,0.6,55,"","",0
"06001436200",70.0,2.5,8,"","",0
"06001436300",70.0,4.0,124,29.13,9.6,2
"06001436401",70.0,9.9,118,14.5,11.4,5
"06001436402",70.0,14.1,46,"","",0
"06001436500",70.0,0.0,35,10.78,22.6,4
"06001436601",70.0,0.1,51,56.89,0.0,1
"06001436602",70.0,1.1,23,"","",0
"06001436700",70.0,0.1,75,"","",0
"06001436800",70.0,0.0,40,"","",0
"06001436900",70.0,7.4,49,48.26,0.0,1
"06001437000",70.0,0.0,60,"","",0
"06001437101",70.0,0.1,115,"","",0
"06001437102",70.0,0.0,51,"","",0
"06001437200",70.0,8.2,73,51.21,0.0,1
"06001437300",70.0,0.2,23,"","",0
"06001437400",70.0,5.7,50,"","",0
"06001437500",70.0,1.8,34,"","",0
"06001437600",70.0,1.1,42,70.0,0.0,1
"06001437701",70.0,7.7,29,"","",0
"06001437702",70.0,0.2,31,76.0,0.0,1
"06001437800",70.0,2.6,64,"","",0
"06001437900",70.0,0.0,14,59.4,16.0,3
"06001438000",70.0,6.5,43,"","",0
"06001438100",70.0,0.7,86,66.4,0.0,1
"06001438201",70.0,0.0,33,"","",0
"06001438203",70.0,0.0,45,80.4,4.1,2
"06001438204",70.0,0.0,44,"","",0
"06001438300",70.0,2.2,45,"","",0
"06001438400",70.0,0.0,20,"","",0
"06001440100",70.0,0.1,31,"","",0
"06001440200",70.0,0.0,40,"","",0
"06001440301",70.0,2.4,67,"","",0
"06001440304",70.0,0.0,43,46.86,24.8,2
"06001440305",70.0,0.9,38,"","",0
"06001440306",70.0,0.0,58,"","",0
"06001440307",70.0,4.1,52,"","",0
"06001440308",70.0,2.4,55,"","",0
"06001440331",70.0,0.0,21,72.22,0.0,1
"06001440332",70.0,0.0,33,"","",0
"06001440333",70.0,0.0,29,"","",0
"06001440334",70.0,0.3,42,"","",0
"06001440335",70.0,0.0,87,"","",0
"06001440336",70.0,0.0,50,"","",0
"06001441100",70.0,9.7,39,"","",0
"06001441200",70.0,5.3,78,"","",0
"06001441301",70.0,0.6,27,"","",0
"06001441302",70.0,1.6,57,"","",0
"06001441401",70.0,7.7,80,"","",0
"06001441402",70.0,9.8,58,"","",0
"06001441501",70.0,0.0,45,"","",0
"06001441503",70.0,1.3,99,69.86,14.7,17
"06001441521",70.0,10.4,47,70.0,0.0,2
"06001441522",70.0,1.4,72,"","",0
"06001441523",70.0,9.3,56,"","",0
"06001441524",70.0,17.9,43,36.76,0.0,1
"06001441601",70.0,3.6,60,"","",0
"06001441602",70.0,3.5,65,"","",0
"06001441700",70.0,5.1,151,37.5,0.0,1
"06001441800",70.0,3.3,63,69.97,6.4,6
"06001441921",64.53,9.6,35,"","",0
"06001441923",70.0,1.2,14,43.33,0.0,1
"06001441924",70.0,0.5,107,"","",0
"06001441925",70.0,3.7,49,"","",0
"06001441926",70.0,0.8,34,"","",0
"06001441927",70.0,2.0,48,"","",0
"06001442000",63.57,4.5,30,"","",0
"06001442100",55.0,7.8,69,"","",0
"06001442200",52.66,17.0,87,"","",0
"06001442301",70.0,12.9,56,53.84,0.0,1
"06001442302",70.0,2.1,63,48.73,0.0,1
"06001442400",70.0,6.5,75,"","",0
"06001442500",70.0,2.9,53,"","",0
"06001442601",70.0,2.4,37,"","",0
"06001442602",70.0,2.0,76,"","",0
"06001442700",70.0,1.2,33,"","",0
"06001442800",70.0,5.6,42,17.64,8.4,3
"06001442900",70.0,3.4,86,"","",0
"06001443001",70.0,5.0,46,"","",0
"06001443002",70.0,2.2,51,"","",0
"06001443102",70.0,7.7,85,"","",0
"06001443103",70.0,6.8,39,24.57,0.0,1
"06001443104",57.76,12.5,67,"","",0
"06001443105",65.77,7.7,81,"","",0
"06001443200",70.0,5.9,41,"","",0
"06001443301",70.0,12.7,38,"","",0
"06001443321",70.0,0.8,55,"","",0
"06001443322",70.0,1.4,27,"","",0
"06001444100",70.0,1.2,85,"","",0
"06001444200",70.0,4.4,83,67.64,14.0,7
"06001444301",70.0,0.7,27,32.71,32.7,2
"06001444302",70.0,5.4,35,56.6,0.0,1
"06001444400",70.0,10.6,56,22.85,0.0,1
"06001444500",70.0,3.9,59,0.0,0.0,1
"06001444601",70.0,2.5,64,73.83,0.0,1
"06001444602",70.0,1.4,107,27.4,16.9,4
"06001450101",70.0,0.0,53,"","",0
"06001450102",70.0,0.0,37,69.41,5.2,3
"06001450200",70.0,10.1,47,"","",0
"06001450300",70.0,0.7,63,68.0,7.5,3
"06001450400",70.0,4.1,98,45.65,18.1,4
"06001450501",70.0,1.3,57,69.88,0.0,1
"06001450502",70.0,3.1,108,"","",0
"06001450601",70.0,12.7,57,71.07,2.3,2
"06001450602",70.0,3.5,129,69.87,0.0,1
"06001450603",70.0,0.0,68,77.22,6.9,2
"06001450604",70.0,3.3,59,"","",0
"06001450605",70.0,0.1,43,36.5,36.5,2
"06001450606",70.0,2.9,67,"","",0
"06001450607",70.0,9.9,36,70.0,9.5,9
"06001450701",70.0,6.9,140,71.16,1.2,2
"06001450741",70.0,0.6,57,"","",0
"06001450742",70.0,0.1,71,"","",0
"06001450743",70.0,1.5,58,72.47,4.5,21
"06001450744",70.0,0.0,59,20.44,0.0,1
"06001450745",70.0,0.8,74,"","",0
"06001450746",70.0,0.4,56,72.5,5.1,9
"06001450750",70.0,2.9,105,"","",0
"06001450751",70.0,3.8,522,"","",0
"06001450752",70.0,27.0,209,78.0,3.0,2
"06001451101",70.0,12.4,134,62.05,0.0,1
"06001451102",70.0,9.6,56,"","",0
"06001451201",70.0,5.0,104,53.33,0.0,1
"06001451202",70.0,3.0,139,"","",0
"06001451300",70.0,2.5,89,23.59,8.8,3
"06001451401",70.0,7.2,94,48.77,0.0,1
"06001451403",70.0,6.0,38,"","",0
"06001451404",70.0,9.4,79,28.57,0.0,1
"06001451501",70.0,4.4,84,39.09,0.0,1
"06001451503",70.0,3.7,88,45.59,32.7,4
"06001451504",70.0,3.2,38,78.86,0.0,1
"06001451505",70.0,2.1,61,"","",0
"06001451506",70.0,4.0,21,"","",0
"06001451601",70.0,6.2,87,45.45,0.0,1
"06001451602",70.0,8.5,97,40.55,10.3,5
"06001451701",70.0,4.9,51,"","",0
"06001451703",70.0,3.0,56,"","",0
"06001451704",70.0,3.7,64,"","",0
"06001983200",70.0,2.4,50,70.83,5.0,3
"06013301000",85.59,20.8,168,0.0,12.8,17
"06013302005",79.16,4.9,100,"","",0
"06013302006",81.67,2.9,77,"","",0
"06013302007",82.09,16.8,103,36.14,19.5,2
"06013302008",86.0,12.8,148,"","",0
"06013302009",85.88,5.5,238,44.93,0.0,1
"06013302010",86.42,6.6,250,"","",0
"06013303102",87.69,9.2,200,48.49,0.0,1
"06013303103",88.83,13.9,210,61.75,15.7,10
"06013303201",85.13,5.6,237,"","",0
"06013303202",86.53,5.9,168,32.04,0.0,1
"06013303203",87.36,8.4,203,78.57,0.0,1
"06013303204",77.08,7.1,79,"","",0
"06013303205",80.0,9.0,201,"","",0
"06013304001",87.41,18.3,130,"","",0
"06013304002",62.78,21.5,16,61.24,0.0,1
"06013304003",70.17,12.3,115,"","",0
"06013304004",60.0,13.0,114,"","",0
"06013304005",90.37,11.2,152,"","",0
"06013305000",58.08,15.3,82,67.5,23.0,9
"06013306002",74.28,6.7,51,"","",0
"06013306003",60.62,14.3,78,64.0,23.7,7
"06013306004",70.0,10.2,47,53.16,0.0,1
"06013307101",75.74,7.6,59,69.53,0.0,1
"06013307102",58.67,15.6,99,67.39,0.0,1
"06013307201",71.68,5.6,38,70.13,0.0,1
"06013307202",70.58,11.4,95,"","",0
"06013307204",72.72,5.1,88,"","",0
"06013307205",75.29,7.3,100,69.73,4.7,2
"06013308001",76.39,10.5,133,62.26,0.0,1
"06013308002",83.67,6.2,126,"","",0
"06013309000",86.66,10.1,49,54.44,0.4,2
"06013310000",70.73,14.2,91,77.68,0.0,1
"06013311000",65.21,14.9,81,"","",0
"06013312000",74.11,11.6,33,85.11,0.0,1
"06013313101",72.47,11.9,78,57.14,10.3,3
"06013313102",81.56,11.9,64,66.34,0.0,1
"06013313103",79.66,9.7,161,"","",0
"06013313203",65.71,8.2,57,"","",0
"06013313204",64.35,13.2,65,"","",0
"06013313205",62.02,7.1,32,"","",0
"06013313206",55.55,11.1,73,62.98,0.0,1
"06013314102",70.58,11.2,67,"","",0
"06013314103",68.75,11.4,63,65.33,0.0,1
"06013314104",65.47,17.3,96,70.4,1.0,2
"06013314200",51.96,14.6,62,"","",0
"06013315000",75.6,9.1,72,"","",0
"06013316000",81.81,22.3,9,47.08,0.0,1
"06013317000",46.81,21.6,25,"","",0
"06013318000",31.97,17.7,50,"","",0
"06013319000",32.87,18.4,114,32.63,23.5,2
"06013320001",38.46,14.1,60,"","",0
"06013320003",52.78,8.1,56,"","",0
"06013320004",53.17,13.9,144,"","",0
"06013321101",38.23,17.0,119,"","",0
"06013321102",47.67,16.3,129,"","",0
"06013321103",30.43,14.7,57,"","",0
"06013321200",50.35,15.6,67,64.11,21.6,3
"06013322000",33.33,17.3,117,67.61,0.0,1
"06013323000",28.86,18.7,72,"","",0
"06013324001",46.91,23.2,42,86.5,18.6,3
"06013324002",38.59,22.3,51,"","",0
"06013325000",28.57,15.8,79,62.67,0.0,1
"06013326000",28.09,13.8,52,"","",0
"06013327000",49.4,27.6,102,58.67,21.3,2
"06013328000",71.66,21.7,7,64.6,28.6,7
"06013329000",37.03,13.8,99,20.7,19.6,2
"06013330000",38.32,12.6,108,"","",0
"06013331000",42.85,18.8,96,"","",0
"06013332000",38.38,13.9,119,"","",0
"06013333101",46.91,17.7,70,60.0,0.0,1
"06013333102",54.21,16.5,77,"","",0
"06013333200",42.16,13.1,81,"","",0
"06013334001",31.95,18.6,60,"","",0
"06013334004",63.41,17.4,147,"","",0
"06013334006",43.89,16.3,55,"","",0
"06013334200",28.8,16.9,120,"","",0
"06013335000",28.86,14.1,48,74.92,0.0,1
"06013336101",75.6,18.6,25,59.76,7.7,2
"06013336102",74.73,15.1,72,"","",0
"06013336201",45.65,15.9,45,"","",0
"06013336202",58.0,12.6,40,64.72,0.0,1
"06013337100",54.69,15.4,50,"","",0
"06013337200",45.67,15.8,107,35.79,0.0,1
"06013337300",44.88,16.1,64,"","",0
"06013338101",57.14,17.8,77,44.27,0.0,1
"06013338102",37.5,14.7,63,63.47,0.0,1
"06013338201",49.86,19.1,74,46.73,0.0,1
"06013338203",46.63,14.0,96,"","",0
"06013338204",38.46,12.5,129,"","",0
"06013338301",20.83,9.3,35,66.84,0.0,1
"06013338302",26.66,11.9,89,"","",0
"06013339001",51.5,13.4,27,29.36,28.0,4
"06013339002",41.34,11.8,91,43.66,23.2,5
"06013340001",35.66,19.7,89,73.4,0.0,1
"06013340002",30.0,15.3,115,"","",0
"06013341000",30.73,17.3,74,17.47,0.0,1
"06013343001",29.09,14.1,66,"","",0
"06013343002",31.48,14.4,64,"","",0
"06013343003",28.16,15.4,47,"","",0
"06013345101",27.27,11.5,105,"","",0
"06013345102",24.52,7.5,43,"","",0
"06013345103",34.95,10.5,69,"","",0
"06013345105",26.02,10.0,115,59.73,0.6,2
"06013345108",42.85,9.1,234,76.59,13.8,14
"06013345111",43.95,8.6,86,"","",0
"06013345112",46.63,8.0,90,"","",0
"06013345113",39.47,9.9,65,"","",0
"06013345114",30.82,12.3,139,"","",0
"06013345115",44.8,12.6,85,"","",0
"06013345116",37.1,12.0,37,"","",0
"06013345202",41.48,15.0,142,61.53,14.2,3
"06013345203",31.62,15.3,118,43.01,29.7,2
"06013345204",36.0,18.5,67,"","",0
"06013346101",34.0,17.0,42,"","",0
"06013346102",41.92,13.2,102,"","",0
"06013346201",38.49,16.4,124,"","",0
"06013346203",25.87,9.2,50,"","",0
"06013346204",36.4,11.4,133,"","",0
"06013347000",34.45,13.0,94,"","",0
"06013348000",25.15,16.2,68,"","",0
"06013349000",20.19,13.7,59,51.69,5.5,2
"06013350000",26.2,13.8,54,69.88,4.7,2
"06013351101",57.02,10.5,133,"","",0
"06013351102",52.94,11.6,101,"","",0
"06013351103",56.09,14.4,92,"","",0
"06013351200",16.68,11.9,65,"","",0
"06013352101",28.94,14.9,38,63.66,0.0,1
"06013352102",28.69,13.0,71,"","",0
"06013352201",28.23,11.0,78,"","",0
"06013352202",34.27,14.4,59,69.23,6.9,3
"06013353001",25.92,12.6,57,"","",0
"06013353002",26.79,16.0,50,"","",0
"06013354001",17.59,19.2,28,"","",0
"06013354002",28.25,16.1,99,"","",0
"06013355107",81.09,6.4,105,"","",0
"06013355108",83.78,5.1,266,"","",0
"06013355109",82.41,2.9,118,54.71,0.0,1
"06013355110",80.0,3.1,99,67.5,0.0,1
"06013355111",83.33,4.8,130,"","",0
"06013355112",39.4,14.1,78,"","",0
"06013355113",44.06,8.1,92,"","",0
"06013355114",43.39,9.4,196,"","",0
"06013355115",46.45,6.8,148,2.43,0.0,1
"06013355116",49.75,7.2,141,"","",0
"06013355117",50.98,7.3,106,"","",0
"06013355200",83.97,7.1,281,"","",0
"06013355301",51.02,15.8,143,"","",0
"06013355302",33.3,12.4,35,"","",0
"06013355304",47.72,11.0,147,"","",0
"06013355306",46.42,15.9,99,"","",0
"06013356001",46.48,7.0,43,"","",0
"06013356002",60.12,16.5,97,"","",0
"06013357000",32.02,19.4,40,66.66,8.4,5
"06013358000",36.23,17.4,62,69.8,8.7,2
"06013359102",43.55,18.1,71,64.28,0.0,1
"06013359103",41.66,22.0,73,"","",0
"06013359104",75.34,11.7,69,0.86,0.0,1
"06013359105",64.17,11.2,125,"","",0
"06013359202",37.81,14.2,80,"","",0
"06013359203",56.32,15.7,121,"","",0
"06013359204",49.02,10.3,44,"","",0
"06013360101",46.84,16.5,84,"","",0
"06013360102",54.42,11.7,52,"","",0
"06013360200",45.32,16.2,59,67.21,0.0,1
"06013361000",49.57,20.4,53,33.33,0.0,1
